Timestamp,Speaker last name,Speaker first name,Affiliation,Talk title,Abstract,Bio,"I am NOT available to speak at the following times:
(please use this only if you have exceptional constraints, we may not be able to accommodate all requests)"
5/9/2025 13:12:45,Waller,Laura,UC Berkeley,Space-time methods for super-resolution microscopy of dynamic samples,"Computational imaging is permeating cameras and microscopes across many scientific applications, enabling new high-resolution and multi-dimensional measurement capabilities (e.g. phase, 3D, hyperspectral). But many methods require acquisition of multiple images to reconstruct this new information, limiting their applicability for live dynamic samples, where motion blur can cause severe artifacts. This talk will describe new space-time algorithms that correct for motion artifacts and solve for dynamics, with imperfect optical systems or approximate forward models. Traditional model-based image reconstruction algorithms work together with neural networks to optimize the inverse problem solver and the data capture strategy.","Laura Waller is the Charles A. Desoer Professor of Electrical Engineering and Computer Sciences at UC Berkeley. She received B.S., M.Eng. and Ph.D. degrees from the Massachusetts Institute of Technology in 2004, 2005 and 2010. After that, she was a Postdoctoral Researcher and Lecturer of Physics at Princeton University from 2010-2012. She is a Packard Fellow for Science & Engineering, Moore Foundation Data-driven Investigator, OSA Fellow, and Chan-Zuckerberg Biohub Investigator. She has received the Carol D. Soc Distinguished Graduate Mentoring Award, OSA Adolph Lomb Medal, the SPIE Early Career Award and the Max Planck-Humboldt Medal. ",
5/11/2025 20:43:11,Freeman,Bill,MIT,The Sensor Independence Assumption,"For imaging problems in science or medicine, you'd like to rely on prior assumptions about images as little as possible, when making image reconstructions from underdetermined sensor measurements. One often imposes the constraint that light is positive, which doesn't impose any disputable prior assumption about the images we're reconstructing. There's another indisputable assumption that I think is under-exploited:  statistical independence between the sensor and the world.  I'll show the power of this assumption for some underdetermined linear inverse problems.","William T. Freeman is the Thomas and Gerd Perkins Professor of Electrical Engineering and Computer Science (EECS) at MIT. He is interested in mid-level vision, audio, and computational photography, and co-authored a computer vision textbook recently published by MIT Press.   He received outstanding paper awards at computer vision or machine learning conferences in 1997, 2006, 2009,  2012 and 2019, and test-of-time awards for papers from 1990, 1995, 2002, 2005, and 2012.  He is a member of the National Academy of Engineering, and a Fellow of the IEEE, ACM, and AAAI.  In 2019, he received the PAMI Distinguished Researcher Award, the highest award in computer vision.","Wednesday, July 23, PM"
5/12/2025 13:55:09,Horstmeyer,Roarke,Duke University,High-throughput computational imaging with multi-camera array microscopes,"This talk details several new imaging approaches for extremely high-throughput capture of images and video at the microscopic scale. Due to their limited field-of-view, today’s microscopes are relatively inefficient at imaging dynamics (e.g., living organisms, live cells) across large areas and volumes. This is particularly true for 3D recordings of freely moving small model organisms like the zebrafish and fruit fly, as well as in vitro cultures such as organoids and organospheres. This work presents a multi-camera array microscope (MCAM) that contains dozens of tightly packed imaging systems that can synchronously record video at multiple gigabytes per second data rates. In this talk, I will highlight several unique imaging configurations that are optimized to operate with the MCAM platform to unlock new scientific measurement regimes and large speed and efficiency gains for high-throughput imaging workflows. ","Roarke Horstmeyer is an assistant professor of Biomedical Engineering and Electrical and Computer Engineering at Duke University. He is also the Scientific Director at Ramona Optics. He develops microscopes, cameras and computer algorithms for a wide range of applications, from forming large-area, high-resolution 3D videos of freely moving organisms to detecting blood flow and brain activity deep within tissue. Dr. Horstmeyer’s lab currently performs research within the fields of ptychography, high-content microscopic imaging, physics informed machine learning algorithms, and biophotonic measurement systems. Before joining Duke in 2018, Dr. Horstmeyer was a visiting professor at the University of Erlangen in Germany and an Einstein International Postdoctoral Fellow at Charité Medical School in Berlin. Prior to his time in Germany, Dr. Horstmeyer earned a PhD from Caltech’s Electrical Engineering department (2016), an MS from the MIT Media Lab (2011), and bachelor’s degrees in Physics and Japanese from Duke in 2006.","Wednesday, July 23, AM, Wednesday, July 23, PM"
5/13/2025 4:23:53,Veeraraghavan,Ashok,Rice University,"Optics, sensors and AI: synergic computational imaging to go beyond the limits imposed by conventional imaging","In this talk, I will discuss about several projects in my lab at the confluence of optics, sensors and artificial intelligence. In particular, I will provide examples of how co-designing sensors, optics and AI algorithms results in superior performance capabilities for imaging systems. I will provide a few example projects: (1) how co-designing imaging optics along with AI algorithms can enable high-throughput 3D imaging, and microscopy, (2) how novel diffractive and meta-optical elements allow us to realize imaging systems with novel functionalities and form-factors and finally time-permitting, (3) how emerging neural representations along with high resolution spatial light modulators can allow us to image through thick scattering media without the need for guidestars. I will use these projects to argue that we should look at the three computational blocks within an imaging system, optics, sensors and algorithms together and that co-designing them can result in significant performance improvements over the state of art.","Ashok Veeraraghavan serves as the current Chair of the Department of Electrical and Computer Engineering. He also directs the computational imaging lab, which focuses on solving hard and challenging problems in imaging and vision by co-designing sensors, optics, electronics, signal processing, and machine learning algorithms. Before joining Rice University, he spent three wonderful and fun-filled years as a Research Scientist at Mitsubishi Electric Research Labs in Cambridge, MA. He received his Bachelors in Electrical Engineering from the Indian Institute of Technology, Madras in 2002 and M.S and PhD. degrees from the Department of Electrical and Computer Engineering at the University of Maryland, College Park in 2004 and 2008 respectively. His thesis received the Doctoral Dissertation award from the Department of Electrical and Computer Engineering at the University of Maryland. His work has won numerous awards including the Peter and Edith O'Donnel Award for Engineering in 2024, Charles Duncan Innovation Award 2019, Hershel. M. Rich Invention Award in 2016 and 2017, and an NSF CAREER award in 2017. He loves playing, talking, and pretty much anything to do with the slow and boring but enthralling game of cricket.","Monday, July 21, AM, Monday, July 21, PM, Wednesday, July 23, PM"
5/13/2025 10:32:12,Chowdhury,Shwetadwip,UT Austin,Exploring the nonconvex landscape of biological inverse-scattering,"Optical imaging is a major research tool in the basic sciences, but is limited by tissue scattering to short imaging depths. This prevents large-scale bio-imaging by allowing visualization of only the outer superficial layers of an organism, or specific components isolated from within the organism and prepared in-vitro.  Our lab develops inverse-scattering techniques to computationally correct for the effects of tissue scattering and reconstruct high-resolution volumetric images of the sample. However, these methods are nonconvex and susceptible to local minima. We demonstrate that reconstruction quality is critically, and sometimes counterintuitively, influenced by factors such as the choice between field- and amplitude-based cost functions, computational padding, initialization strategies using weak-scattering assumptions, and the application of refocusing. Lastly, we present the methodology that we found through empirical testing has proven most effective for robust and high-quality 3D imaging of diverse biological scattering samples.",Shwetadwip Chowdhury is an assistant professor in the Department of Electrical and Computer Engineering at the University of Texas at Austin. His research interests are in developing next generation optical imaging technologies for applications in science and medicine. ,
5/14/2025 3:07:29,Piestun,Rafael,University of Colorado Boulder,Computational Imaging enables ultra-thin endomicroscopy,"In-vivo imaging using hair-thin multimode fibers has been recently accomplished. Multimode fibers are attractive for endoscopic applications due to their thin cross-section, high modal density, and flexibility. However modal dispersion and intermodal coupling preclude direct image transmission. Computational imaging techniques are thus critical to enable full functionality. The development of fast spatial phase control enables focus scanning and structured illumination for different imaging modalities. We discuss the implications of these techniques for ultrathin optical endoscopy and show the latest in-vivo implementations.
","Prof. Rafael Piestun received the Ingeniero Electricista degree from the Universidad de la República (Uruguay) and MSc. and Ph.D. degrees in Electrical Engineering from the Technion – Israel. From 1998 to 2000 he was a researcher at Stanford University. Since 2001 he has been at the University of Colorado Boulder where he is a professor in the department of Electrical and Computer Engineering and in the Physics department. He is a fellow of the Optical Society of America, was a Fulbright scholar, an Eshkol fellow, received a Honda Initiation Grant award, a Minerva award, a Provost Achievement Award, and El-Op and Gutwirth prizes. He was associate editor of Optics and Photonics News and Applied Optics. He is founder of the company Double Helix Optics (SPIE Prism Award, First Place in the Luminate Competition) and the company Modendo Inc. His areas of interest include computational optical imaging, superresolution microscopy, volumetric photonic devices, scattering optics, and ultrafast optics.","Wednesday, July 23, AM, Wednesday, July 23, PM"
5/14/2025 18:28:46,Goyal,Vivek,Boston University,Quantitative Secondary Electron Yield Mapping in Ion-Beam Microscopy,"Secondary electron imaging (SEI) modalities, such as scanning electron microscopy (SEM) and helium ion microscopy (HIM), are widely used for nanoscale visualization. They are known to suffer from super-Poissonian noise and are generally qualitative because of unknown detector parameters. My group has been working to develop SEI as a quantitative modality with robustness to various sources of noise. The central idea is to recognize that there are phenomena within each pixel dwell time that make it worthwhile to measure more than a single scalar value during that dwell time. Recently, we have shown how to use our central idea with an existing HIM instrument, without replacing its noisy Everhart-Thornley detector. With ion count-aided microscopy [10.1073/pnas.2401246121], we demonstrate an improvement in the dose-accuracy tradeoff that enables dose reduction by a factor between 2 and 3. Theory predicts much larger improvements are possible with heavier incident ions or in low-voltage SEM. Our improvement represents a near elimination of source shot noise, and ongoing work addresses beam spot size-related limitations to resolution.","Vivek Goyal received undergraduate degrees in electrical engineering and mathematics from the University of Iowa.  After graduate degrees in electrical engineering from UC-Berkeley, he was a Member of Technical Staff at Bell Laboratories, a Senior Research Engineer for Digital Fountain, and the Esther and Harold E. Edgerton Associate Professor of Electrical Engineering at MIT.  His research group spawned 3dim Tech, winner of the 2013 MIT $100K Entrepreneurship Competition Launch Contest Grand Prize, and he was consequently with Google/Alphabet Nest Labs 2014-2016.  He is now a Professor of Electrical and Computer Engineering at Boston University.  Dr. Goyal is a Fellow of the AAAS, IEEE, and Optica, and he and his students have been awarded ten IEEE paper awards and eight thesis awards.  He is a co-author of Foundations of Signal Processing (Cambridge Univ. Press, 2014) and a 2024 Guggenheim Fellow.",
5/14/2025 23:36:23,O'Toole,Matthew,Carnegie Mellon University,Spatially-selective Lensing,"A camera lens brings a single plane into focus on a sensor; parts of the scene not on this plane are resolved on the sensor under defocus. Can we break this precept by enabling a lens that changes its depth-of-field arbitrarily? This presentation discusses the design and implementation of a lens capable of spatially-selective focusing.  Through a combination of cubic phase plates and spatial light modulators, we demonstrate control over focus at the pixel level. This confers unique imaging capabilities---most notably, the ability to bring an entire scene into sharp focus without reducing the size of the lens's aperture.","Matthew O'Toole is an Associate Professor with the Robotics Institute and Computer Science Department at Carnegie Mellon University. Prior to joining CMU, he was a Banting Postdoctoral Scholar at Stanford University, and received his Ph.D. from the University of Toronto. He is also the recipient of an NSF CAREER award; a ACM SIGGRAPH Outstanding Thesis Honourable Mention award; best paper awards at SIGGRAPH 2023, CVPR 2022, CVPR 2014, and ICCV 2007; and best demo awards at ICCP 2023, CVPR 2015, and ICCP 2015. ",
5/16/2025 14:32:18,Gao,Liang,UCLA,Breaking the Speed Barrier: High-Speed Light-Field Microscopy for Kilohertz 3D Imaging and beyond,"Light-field microscopy offers unprecedented capabilities for 3D visualization of biological samples down to the sub-cellular level. Despite its strengths, the technique has historically faced limitations in imaging speed due to the acquisition of large-format light field data. This bottleneck has restricted its use in high-speed bioimaging applications like voltage imaging or fluorescence lifetime imaging microscopy (FLIM). In this presentation, I will discuss our innovative approaches to overcoming this challenge by leveraging advancements in computational optics and detector technology, enabling a volumetric frame rate from kilohertz to terahertz.","Dr. Liang Gao is an Associate Professor of Bioengineering at UCLA, specializing in optical imaging and its application in biomedicine. He has authored over 80 peer-reviewed publications in top-tier journals, including Nature, Nature Communications, Science Advances, and PNAS. Dr. Gao received his BS degree in Physics from Tsinghua University in 2005 and his PhD in Applied Physics and Bioengineering from Rice University in 2011. He has been honored with several awards, including a CAREER award from NSF, a MIRA award from NIH, a Frontiers of Science Award in Computational Optics from ICBS, and a Harold E. Edgerton Award in High-Speed Optics from SPIE. Dr. Gao is also a fellow member of SPIE and Optica (formerly OSA).","Tuesday, July 22, AM, Tuesday, July 22, PM, Wednesday, July 23, AM, Wednesday, July 23, PM"
5/16/2025 16:41:31,Adelson,Edward,Massachusetts Institute of Technology,Capturing touch and surface geometry with vision based tactile sensors,"A vision based tactile sensor (VBTS) consists of a soft gel pad covered with a reflective membrane, viewed by an internal camera. My lab builds GelSight sensors, which capture the distortion of the membrane though photometric stereo using internal LED’s. The native language of a VBTS is geometry: when the sensor presses on a surface we can track the X,Y,Z distortion of every point on the membrane over time. With a GelSight robot fingertip we can measure force, but usually geometry is more important than force. The soft robot fingertip lets us detect slip, identify objects and materials, determine object pose, and estimate material properties like hardness. GelSight-based instruments can also be used to measure surface microgeometry with optically challenging materials (like glass or metal) and challenging circumstances (like on the wing of an airplane).","Edward Adelson is the John and Dorothy Wilson Professor of Vision Science at MIT, in the Department of Brain and Cognitive Sciences, and a member of the Computer Science and Artificial Intelligence Laboratory (CSAIL). He is a member of the National Academy of Sciences. He has published widely on topics in human vision, computer vision, computer graphics, artificial tactile sensing, and robotics. He is well known for contributions to multiscale image representation (such as the Laplacian pyramid) and basic concepts in early vision such as steerable filters and motion energy models. He introduced the plenoptic function, and built the first plenoptic camera. He has produced some well known illusions such as the Checker-Shadow Illusion. He has been honored with the Nakayama Medal of the Vision Sciences Society,  two test-of-time awards from the IEEE Computer Society, and the IEEE Lifetime Achievement Award in Computer Vision. He now works on artificial touch sensing for robotics.",
5/17/2025 15:42:21,Nayar,Shree,Columbia University,Vision for Solar Energy,"In urban areas, solar panels are mounted on rooftops, on the sides of buildings, at the ground level, on poles, and even embedded within windows. The market for urban solar panels was 64 billion is 2025 and is projected to double by 2035. What makes the use of a solar panel in an urban setting interesting is that, due to occlusions, the panel sees only a fraction of the sky and hence receives direct sunlight for only a part of the day, and maybe even never. An important question therefore is: For any given urban location, how should a panel be oriented to maximize its irradiance and hence the energy it harvests? We present a minimal sensing method for automatically orienting a solar panel in the direction of maximum irradiance, irrespective of the complexity of the illumination it receives. We also present a vision-based approach for forecasting the energy harvested by an already installed panel, which is valuable information for managing supply and demand in an electric grid. ","Shree K. Nayar is the T. C. Chang Professor of Computer Science at Columbia University. He heads the Columbia Imaging and Vision Laboratory (CAVE), which develops computational imaging and computer vision systems. Nayar received his PhD degree in Electrical and Computer Engineering from the Robotics Institute at Carnegie Mellon University. For his research and teaching he has received several honors including the David Marr Prize (1990 and 1995), the David and Lucile Packard Fellowship (1992), the National Young Investigator Award (1993), the NTT Distinguished Scientific Achievement Award (1994), the Keck Foundation Award for Excellence in Teaching (1995), the Columbia Great Teacher Award (2006), the Carnegie Mellon Alumni Achievement Award (2009), Sony Appreciation Honor (2014), the Columbia Engineering Distinguished Faculty Teaching Award (2015), the IEEE PAMI Distinguished Researcher Award (2019), the Funai Achievement Award (2021), and the Okawa Prize (2022). For his contributions to computer vision and computational imaging, he was elected to the National Academy of Engineering in 2008, the American Academy of Arts and Sciences in 2011, and the National Academy of Inventors in 2014.
","Tuesday, July 22, PM, Wednesday, July 23, AM, Wednesday, July 23, PM"
